0,1,2,3,4,5,6
あぼーん,,exp sl,,2,deleted marks a bulletin board post that was deleted because it contained inappropriate content,2730550
あまりと言えば,あまりといえば,exp uk,,3,excessively,2513120
あらぬ事,あらぬこと,exp uk,,2,the unthinkable,2453430
あらやだ,,exp,,2,Oh no Oh dear,2196440
あられもない,,exp adj-i,adj-i,6,unladylike unbecoming immodest,2035110
あらん限り,あらんかぎり,exp adv adj-no,,7,all as much as possible,1540960
ありがとうさん,,exp,,1,thank you thanks a lot,2767930
ありなさい,,exp,,2,please be ....,2141830
ありゃしない,,exp,,2,doesn't even exist,2062980
ありんす,,exp,,2,"variation of ""arimasu"" used by the prostitutes of the Yoshiwara red light district in the Edo period",2426180
あり得べからざる,ありうべからざる,exp adj-pn,,3,impossible unthinkable unimaginable,2575640
あり得る,ありうる,adj-f exp,,6,possible likely probable,1540970
あるある,,exp,,2,"Oh yeah Of course it is so Cheer up, that's average It happens It's possible Don't worry, it happens",2150380
あるに任せる,あるにまかせる,exp v1,v1,1,to let things end up as they will to let nature take its course,2754130
あるに従う,あるにしたがう,exp v5u,v5,1,to make do with what one has,2754140
あるに違い無い,あるにちがいない,exp,,1,there must be you can be sure that,2755220
あるらしい,,exp,,2,seems to be appears to have supposed to be,2080110
ある人,あるひと,n exp,,3,"someone (unspecified, but someone in particular) a certain person",1153620
ある意味,あるいみ,exp,,1,in a sense in some way to an extent,2827588
ある意味で,あるいみで,exp,,603,in a sense in some way to an extent,2101010
ある意味では,あるいみでは,exp,,603,in a sense in some way to an extent,2101020
ある日,あるひ,n exp,,5,"one day (e.g. ""one day while studying, .."")",1153630
ある時,あるとき,exp,,4,"once (e.g. ""once, when I was studying .."") on one occasion at one point",1153610
ある程度,あるていど,exp adj-no adv,,4,to some extent to a certain extent,1981700
ある程度まで,あるていどまで,exp,,2,to some degree up to a point to some extent,2677750
ある限り,あるかぎり,exp n-adv,,4,as long as there is,1745510
あれだけ,,exp adj-no,,604,to that extent to that degree that much that many,1981440
あれっきり,,exp,,6,since then,1981420
あれで,,exp,,3,"despite appearances you mightn't think so, however ...",2804570
あれへん,,exp ksb,,1,not nonexistent not being (there),2756140
あれよあれよ,,exp int,,5,while surprised suddenly,2035150
あれよあれよという内に,あれよあれよといううちに,exp uk,,1,while looking on in blank amazement while gazing at it in shock,2767840
あれよあれよという間に,あれよあれよというまに,exp,,2,while looking on in blank amazement while gazing at it in shock,2767820
あれよあれよと見る間に,あれよあれよとみるまに,exp,,1,while looking on in blank amazement while gazing at it in shock,2767850
あれ以来,あれいらい,exp,,6,since then,1981430
あろうとなかろう,,exp,,1,whether or not presence or absence,2535730
あわよくば,,exp,,5,if there is a chance if possible if circumstances permit if things go well if luck is on my side,2035170
あんなに,,exp,,8,to that extent to that degree,1981450
あんな風に,あんなふうに,exp uk,,3,in that way like that that way,2007240
いいか,,exp col,,5,You see ... Mind you ... Remember ...,2555520
いいから,,exp col,,5,listen up (used at start of command sentences for emphasis),2209490
いいからいいから,,exp,,1,don't worry about it it's nothing don't give it a thought,2827364
いいとこ取り,いいとこどり,exp n vs uk,vs,1,focusing on only the good points or strong points incorporating the benefits (while ignoring the drawbacks) picking the best of both (everything) cherry-picking (e.g. information),2823370
いいとも,,exp,,7,damn straight no problem sounds good sure thing,2132060
いいようにする,,exp vs-i,vs,1,to do as one wishes to act as one wills,2784850
いい事,いいこと,exp n uk,,3,good thing nice thing,2823360
いい人,いいひと,exp,,7,good-natured person,1835630
いい仲,いいなか,exp n,,3,love for one another,1835760
いい加減にしなさい,いいかげんにしなさい,exp,,2,shape up! act properly!,1000600
いい加減にしろ,いいかげんにしろ,exp,,603,that's enough! cut it out! get a life!,2393900
いい加減にする,いいかげんにする,exp vs-i,vs,7,to put an end to something to get something over with to quit something one has been engaged in too long or to an excessive degree,1982060
いい子,いいこ,exp n,,3,good boy good girl,1835640
いい子ちゃん,いいこちゃん,exp n,,1,goody goody goody two-shoes teacher's pet,2830279
いい年,いいとし,exp n,,3,maturity mature age,1835750
いい年して,いいとしして,exp,,2,(in spite of) being old enough to know better,2402110
いい年をして,いいとしをして,exp,,3,(in spite of) being old enough to know better,1000610
いい度胸,いいどきょう,exp n vs,vs,2,some nerve (as in 'you must have some nerve to ...'),2229180
いい後は悪い,いいあとはわるい,exp adj-i,adj-i,1,after the good comes the bad,2741810
いい感じ,いいかんじ,exp n,,1,pleasant feeling good vibes,2430620
いい所のお坊ちゃん,いいとこのおぼっちゃん,exp n,,1,rich kid person who grew up wealthy,2717140
いい所の坊ちゃん,いいとこのぼっちゃん,exp n,,1,rich kid person who grew up wealthy,2717130
いい気になる,いいきになる,exp v5r,v5,4,to be self-complacent to be conceited to flatter oneself to be full of oneself,2574960
いい線,いいせん,exp n,,2,more or less right you are on the right track getting warm,2160010
いい線いってる,いいせんいってる,exp v1 col,v1,2,to be on the right track to be close enough,2394060
いい線を行く,いいせんをいく,exp v5k-s,v5,2,to be on the right track to go well,1857600
いい線行く,いいせんいく,exp v5k-s,v5,2,to be on the right track to go well,2160430
いい薬になる,いいくすりになる,exp v5r,v5,3,to learn a lesson (usu. from an unpleasant experience) to be good for someone,2399140
いい話,いいはなし,exp n,,1,"good prospect (e.g. marriage, business)",2722470
いい頃,いいころ,exp n,,2,high time about time,2118250
いい顔,いいかお,exp n,,4,big-shot influential person,1835990
いい鴨,いいかも,exp uk,,3,desirable prey easy game easy mark easy prey easy target,2453440
いかがお過ごしですか,いかがおすごしですか,exp,,2,How are things with you? How are you doing?,2546050
いかなる場合でも,いかなるばあいでも,exp,,3,in any case whatever the case may be,1000650
いかめしい顔つき,いかめしいかおつき,exp n,,2,grave look stern look,1857810
いきが良い,いきがよい,exp adj-i,adj-i,1,fresh (e.g. fish),2823610
いくない,,exp adj-i sl joc,adj-i,1,not good bad,2458250
いくら何でも,いくらなんでも,exp uk,,3,no matter how you put it whatever the circumstances may be say what you like no matter how you look at it,2056860
いく日か,いくにちか,exp,,2,some days several days,2529440
いける口,いけるくち,exp n,,2,drinker person who can hold their drink,2752010
いけん,,exp col,,1,must not do,2750130
いざさらば,,exp arch,,-93,"well then, (shall we) well then, (I'll)",2209770
いざという時,いざというとき,exp,,4,when it's important when it comes to the crunch when push comes to shove when it comes to the point in one's hour of need at the critical moment,2136150
いざとなったら,,exp,,2,when push comes to shove when needed when necessity arises when the moment arrives,2742750
いざ知らず,いざしらず,exp,,3,I don't know about ... but it may be possible for ... but,2063890
いずれの場合においても,いずれのばあいにおいても,exp,,2,in either case in all cases,1188580
いずれ菖蒲か杜若,いずれあやめかかきつばた,exp,,2,equally beautiful,2108400
いたちの道,いたちのみち,exp,,2,"not to write to or visit someone road of the weasel (it is believed that if someone blocks the path a weasel, he will never take that path again)",2084760
いたちの道切り,いたちのみちきり,exp,,2,"not to write to or visit someone road of the weasel (it is believed that if someone blocks the path a weasel, he will never take that path again)",2591920
いちゃもんを付ける,いちゃもんをつける,exp v1,v1,3,to pick a fight to find fault,2007320
いったい何なんですか,いったいなんなんですか,exp,,2,what is it exactly? what is it precisely,2014660
いつかそのうち,,exp,,4,one of these days before very long in the near future,2014070
いつになったら,,exp,,1,when how soon,2805740
いつの日にか,いつのひにか,exp,,4,one of these days someday,2014060
いつまで経っても,いつまでたっても,exp,,3,no matter how much time passes,2086410
いつもいつも,,exp,,1,"year in, year out 24-7",2462300
いつも通り,いつもどおり,exp adv,,605,as always as usual,2069030
いても立ってもいられない,いてもたってもいられない,exp adj-i,adj-i,3,unable to contain oneself itching to do something cannot sit still,2063080
いなくなった,,exp,,3,gone left,2084660
いの一番,いのいちばん,exp,,5,first of all first thing,2035650
いやが上に,いやがうえに,exp adv,,3,even more all the more,2607900
いや気が差す,いやけがさす,exp v5s,v5,1,to be tired of to be sick of to get fed up with,1257310
いよいよという時,いよいよというとき,exp,,2,(at the) last moment (in the) nick of time,2109620
いようが,,exp,,2,(following te-form verb) regardless of whether (or not),2213910
いらした,,exp hon,,1,came went were (somewhere) was (somewhere) were (doing) was (doing),2829585
いらして,,exp hon,,601,coming going being (somewhere) being (doing something),2829587
いらして下さい,いらしてください,exp uk,,2,please come (and visit us) please come (to our shop),2098350
いらっしゃいませ,,exp,,615,"welcome (in shops, etc.)",1000930
いらっしゃって下さい,いらっしゃってください,exp pol uk,,2,please come (and visit us) please come (to our shop),2098360
いられないくらい,,exp,,2,almost not able (to do something),2034490
うけを狙う,うけをねらう,exp v5u,v5,1,to aim for laughs to play to the crowd,2830666
うざがる,,exp v5r,v5,2,to behave annoyed to feel annoyed,2426740
うぜえ,,exp,,1,strict,2826345
うだつが上がらない,うだつがあがらない,exp adj-i,adj-i,3,no hope of getting ahead,2092690
うだつの上がらない,うだつのあがらない,exp adj-i,adj-i,2,lacking potential for advancement no-hoper,2238310
うっとりさせる,,exp v1,v1,4,to enchant to enrapture to enthrall (enthral) to charm,1001020
うっとりする,,exp vs-i,vs,8,to be entranced to be enraptured to be transported to be fascinated,2261880
うつつを抜かす,うつつをぬかす,exp v5s,v5,4,to be infatuated to be hooked on,2033950
うなぎの寝床,うなぎのねどこ,exp n col,,2,"long, narrow house (e.g. traditional Kyoto townhouse) eel bed",2728570
うなる程,うなるほど,exp n-adv,,1,"to a great extent incredibly (tasty, much, etc.) (money) to burn rolling in (cash)",2740780
うはうは,,exp,,4,exhilarated all smiles,2036130
うぽつ,,exp sl uk,,1,thanks for uploading expression of gratitude used on video-sharing websites (esp. Niconico),2830610
うまい汁,うまいしる,exp n,,2,the lion's share the cream,1310470
うまい汁を吸う,うまいしるをすう,exp v5u,v5,4,to be onto a good thing to make money without working to line one's pockets,2102300
うまい話,うまいはなし,exp n,,2,too-good-to-be-true offers (e.g. scams and frauds) too-good-to-be-true stories,2125110
うまくやって行く,うまくやっていく,exp v5k-s uk,v5,2,to get along well with to make a go of it,2037880
うまれたままの姿,うまれたままのすがた,exp n,,1,completely naked in one's birthday suit,2832640
うれしい悲鳴,うれしいひめい,exp n,,2,shriek of delight cry of joy,2572880
うわべを飾る,うわべをかざる,exp v5r,v5,2,to put on airs to be pretentious to window-dress to pretend,2751440
うんちゃらかんちゃら,,exp,,2,something-something something or other,2202370
うんともすんとも,,exp adv,,4,(followed by a negative verb form) not uttering a single word not giving even the slightest response,2179690
うんともすんとも言わない,うんともすんともいわない,exp adj-i,adj-i,3,keeping silent saying nothing at all,2036350
ええじゃないか,,exp,,2,isn't it great?,2583400
ええままよ,,exp,,1,"what do I care oh well what will be, will be",2772290
ええ加減にしいや,ええかげんにしいや,exp uk fem osb,,2,shape up! act properly!,2113490
えも言はず,えもいわず,exp arch,,-99,inexplicably unexplainably,2717360
えらい目にあう,えらいめにあう,exp v5u,v5,3,to have a terrible time to have a hard time,2275120
えんがちょ切った,えんがちょきった,exp chn,,2,phrase used (usu. with accompanying crossed fingers gesture) to ward off catching 'dirtiness' from another child,2159220
おいでやす,,exp kyb,,5,"welcome (in shops, etc.)",1001190
おいない,,exp abbr kyb,,1,come go stay,2784290
おくびにも出さない,おくびにもださない,exp,,3,"not revealing (thoughts, feelings) not breathing a word",2138190
おこしやす,,exp kyb,,4,"welcome (in shops, etc.)",1001240
おしどり夫婦,おしどりふうふ,exp,,4,loving couple couple of lovebirds happily married couple (who are always together),1981900
おじゃんになる,,exp v5r,v5,6,to fall through to come to nothing to be ruined,2075510
おす,,exp pol kyb,,1,to be,2701360
おちょぼ口をする,おちょぼぐちをする,exp vs-i,vs,3,to pucker up one's lips to purse up one's lips,2727730
おつむてんてん,,exp n,,2,motion of a baby gently hitting his own face with both of his hands,2535330
おととい来やがれ,おとといきやがれ,exp sl,,3,Don't you ever come here again!,2140810
おどろく程,おどろくほど,exp adv,,1,to a surprising degree to a remarkable extent surprisingly astonishingly amazingly alarmingly,2827571
おはよっす,,exp,,2,G'morning Hi!,2034470
おべっかを使う,おべっかをつかう,exp v5u,v5,2,to suck up to to curry up to someone,2102590
おぼれる者はわらをもつかむ,おぼれるものはわらをもつかむ,exp proverb,,4,A drowning man will catch at a straw,2102600
おまんまの食い上げ,おまんまのくいあげ,exp,,2,losing the means of livelihood,2118030
おめでとう御座います,おめでとうございます,exp uk,,604,congratulations,1001540
おもすれえ,,exp col,,1,funny amusing,2744880
おやまあ,,exp,,4,Good heavens! Oh my god! gee whiz,2015630
およしなさい,,exp,,1,please stop,2556440
おんぶに抱っこ,おんぶにだっこ,exp,,3,completely relying on others,1498050
お上手を言う,おじょうずをいう,exp v5u,v5,3,to flatter to boot-lick to curry favour (favor),2089540
お世話になる,おせわになる,exp v5r,v5,4,to receive favor (favour) to be much obliged to someone to be indebted to be grateful,1002260
お世話をする,おせわをする,exp vs-i,vs,3,to take care of,1949370
お世話様,おせわさま,exp,,2,thanks for taking care of me thanks for taking care of my loved one,2151620
お世辞たらたら,おせじたらたら,exp adj-no,,1,smarmy unctuous insincerely flattering profuse compliments,2771090
お世辞にも,おせじにも,exp,,2,by any standard,2763080
お世辞にもうまいとはいえない,おせじにもうまいとはいえない,exp adj-i,adj-i,1,"With the best will in the world, you can't say that it's good",2670900
お久,おひさ,exp abbr sl,,2,long time no see,2120470
お久しぶり,おひさしぶり,exp,,604,it's been a long time long time no see,2222180
お仕舞い,おしまい,exp uk,,610,That's it That's enough That's all,1001970
お休み,おやすみ,exp abbr uk,,616,Good night,1612680
お休みなさい,おやすみなさい,exp uk,,608,good night,1001780
お元気ですか,おげんきですか,exp,,4,how are you?,2272760
お先に,おさきに,exp abbr hon,,8,Pardon me for leaving (before you),1002280
お先に失礼します,おさきにしつれいします,exp,,3,pardon me for leaving (first) (used when leaving a workplace while others remain),2196920
お先棒を担ぐ,おさきぼうをかつぐ,exp v5g,v5,3,to be a willing cats-paw or tool for a person,2102520
お出で,おいで,exp col abbr uk,,16,come go stay,1270400
お出でなさい,おいでなさい,exp uk hon,,4,come go stay,2216930
お出でになる,おいでになる,exp v5r uk hon,v5,16,to be,1001180
お初をいただく,おはつをいただく,exp v5k,v5,2,to eat something for the first time in the season,2640350
お前こそ,おまえこそ,exp,,1,"you you, indeed",2740790
お化けの話,おばけのはなし,exp n,,2,spooky tale ghost story,2563810
お呪い,おまじない,exp,,3,uttered when using magic abracadabra presto,1001490
お変わりありませんか,おかわりありませんか,exp pol,,2,"how have (you) been? (gen. used after some time apart) nothing (untoward) has happened, has it?",2257240
お大事に,おだいじに,exp,,606,take care of yourself get well soon God bless you bless you,1002390
お安いご用,おやすいごよう,exp n,,4,easy task no problem,2076340
お安くない,おやすくない,exp adj-i,adj-i,4,on very good terms with each other romantically attached,2076350
お平らに,おたいらに,exp,,2,please make yourself comfortable please relax your sitting position,1693920
お座なりになる,おざなりになる,exp v5r,v5,2,to not be taken seriously,1001250
お座敷がかかる,おざしきがかかる,exp v5r,v5,2,to be invited (often to perform for an audience) to be called,2435410
お弁当付けて,おべんとうつけて,exp id joc,,1,with rice stuck on one's face,2826473
お待たせしました,おまたせしました,exp,,6,Thank you for waiting Have I kept you waiting?,2149640
お待ち遠様,おまちどおさま,exp,,6,I'm sorry to have kept you waiting,1002360
お後がよろしいようで,おあとがよろしいようで,exp,,2,"(from rakugo) that's all from me, and now the next speaker ... expression used to hand over to the next speaker",2104070
お悔やみ申し上げます,おくやみもうしあげます,exp,,2,my condolences my deepest sympathy,2258800
お慶び申しあげる,およろこびもうしあげる,exp v1,v1,1,"to express pleasure on receiving news, etc. to be glad to hear something",2723970
お手上げ,おてあげ,exp adj-no,,607,all over given in given up hope bringing to knees throwing up one's hands,1002080
お手並み拝見,おてなみはいけん,exp,,2,let's see what you've got show me what you've got,2565960
お手数ですが,おてすうですが,exp,,602,"sorry to bother you, but ...",2830449
お手数をおかけいたします,おてすうをおかけいたします,exp hum,,2,to be a burden to make trouble for someone,2198680
お手柔らかに,おてやわらかに,exp id,,2,"Don't be too hard on me (us, them)",2417300
お掛け下さい,おかけください,exp uk,,3,please sit down please have a seat,2411600
お晩です,おばんです,exp thb,,2,"good evening (greeting, e.g. in emails sent in the evening)",2680820
お暇なら,おひまなら,exp,,1,if you are free if you have time to spare if not otherwise engaged,2821310
お暑うございます,おあつうございます,exp,,3,it is warm (very polite),2026980
お株を奪う,おかぶをうばう,exp v5u,v5,3,to beat someone at his own game,2102500
お構いなく,おかまいなく,exp pol,,5,please don't fuss over me,1001900
お構いなし,おかまいなし,exp adj-na,,5,unmindful without care for others inconsiderate unconcerned,1694800
お気に入り,おきにいり,exp adj-no,,608,favorite favourite pet (e.g. teacher's pet),1610620
お気に召す,おきにめす,exp v5s hon,v5,5,to like to prefer to be pleased by,2077460
お気の毒,おきのどく,exp adj-na pol,,5,"I am sorry (to hear, to say, etc.) a pity",1001750
お気の毒に,おきのどくに,exp,,4,my sympathies that's too bad my condolences,2167510
お気を確かに,おきをたしかに,exp,,2,Don't do anything rash! Keep composed!,2233950
お灸を据える,おきゅうをすえる,exp v1,v1,3,to rake over the coals to scold to chastise to roast,2723190
お留守になる,おるすになる,exp v5r,v5,2,to fail to be attentive to,2121900
お疲れ様,おつかれさま,exp,,606,thank you many thanks much appreciated,1002570
お百度を踏む,おひゃくどをふむ,exp v5m obs,v5,4,to visit repeatedly (to request),2102570
お目にかかる,おめにかかる,exp v5r hum,v5,11,to meet (someone of higher status),1535140
お目にかける,おめにかける,exp v1 hum,v1,5,to show,2267200
お目に留まる,おめにとまる,exp v5r,v5,2,to be recognized (by someone of higher status) to be noticed to get attention,2217320
お目玉を食らう,おめだまをくらう,exp v5u,v5,2,to get a good scolding,2102620
お礼の申し様,おれいのもうしよう,exp n,,3,expression of gratitude,2017270
お粗末さまでした,おそまつさまでした,exp hum,,2,expression of humility said by the person who provided a meal after it is eaten,2202520
お聞きいただく,おききいただく,exp v5k pol,v5,3,to ask,1925710
お腹いっぱい,おなかいっぱい,exp col,,3,full up,2407280
お腹が減る,おなかがへる,exp v5r,v5,2,to become hungry,2217150
お腹が空く,おなかがすく,exp v5k,v5,4,to become hungry to get an empty stomach,2021520
お腹の子,おなかのこ,exp,,603,child one is expecting child in one's womb,2534350
お腹を壊す,おなかをこわす,exp v5s,v5,2,to get an upset stomach to have diarrhea,2671020
お腹を空かす,おなかをすかす,exp v5s,v5,2,to feel hungry to get hungry,2255790
お腹を空かせる,おなかをすかせる,exp v1,v1,2,to feel hungry to get hungry,2247090
お茶する,おちゃする,exp vs-i col,vs,2,"to go out for tea (or coffee, etc.)",2596010
お茶の子さいさい,おちゃのこさいさい,exp,,2,It's a piece of cake It's a simple task It's a cinch,2777330
お茶を入れる,おちゃをいれる,exp v1,v1,2,to make tea,2830620
お茶を濁す,おちゃをにごす,exp v5s,v5,6,to be evasive to give an evasive answer,2102530
お見えになる,おみえになる,exp v5r hon,v5,4,to arrive,1001860
お見知り置き,おみしりおき,exp,,2,pleased to make your acquaintance (formal phrase used on first meeting someone to encourage them to remember you),2211790
お見舞い申し上げる,おみまいもうしあげる,exp v1 hum,v1,2,you have my deepest sympathy,2260020
お見逃しなく,おみのがしなく,exp,,2,Don't miss it,2129420
お言葉,おことば,exp,,7,availing myself of your kind offer taking you at your word,2060600
お誕生おめでとうございます,おたんじょうおめでとうございます,exp,,2,congratulations on the birth of your baby,2529290
お誕生日おめでとう,おたんじょうびおめでとう,exp,,3,Happy Birthday,2253520
お誕生日おめでとうございます,おたんじょうびおめでとうございます,exp,,3,Happy Birthday,1002410
お負けに,おまけに,conj exp uk,,6,to make matters worse besides what's more in addition on top of that,1001480
お過ごし,おすごし,exp hon,,2,getting along,1981930
お邪魔します,おじゃまします,exp,,7,excuse me for disturbing (interrupting) you greeting used when entering someone's home,1002050
お釈迦様の誕生日,おしゃかさまのたんじょうび,exp,,2,Buddha's birthday,2087360
お里が知れる,おさとがしれる,exp v1,v1,3,"to reveal one's upbringing (through one's words, actions, etc.) to betray one's origin to give oneself away",2229120
お金をおろす,おかねをおろす,exp v5s,v5,1,to withdraw money to take money out,2826750
お釜を掘る,おかまをほる,exp v5r,v5,5,to perform anal sex to bugger to sodomize to sodomise,2168840
お鉢が回ってくる,おはちがまわってくる,exp vk id,vk,2,it's my turn the ball is in my court it's up to me,2121530
お鉢が回る,おはちがまわる,exp v5r id,v5,3,one's turn comes round,2417310
お陰で,おかげで,exp uk,,605,thanks to ... owing to ... because of ...,1270210
お陰様で,おかげさまで,exp pol uk,,607,(I'm fine) thank you thanks to you fortunately under the gods' shadow,1270220
お隠れになる,おかくれになる,exp v5r,v5,2,to die to decease to perish to pass away,2662860
お零れに預かる,おこぼれにあずかる,exp,,1,to get a tiny share of the profits to get a small share of what someone is enjoying,2642240
お預けを食う,おあずけをくう,exp v5u,v5,3,to have to wait (for the realization of something hoped for) to be forced to postpone,2118490
お預けを食らう,おあずけをくらう,exp v5u,v5,2,to have to wait (for the realization of something hoped for) to be forced to postpone,2118870
お願いいたします,おねがいいたします,exp hum,,602,please,1001730
お願いします,おねがいします,exp hum,,608,please,1001720
お願いだから,おねがいだから,exp,,4,please I beg you for mercy's sake,2779330
お願いできますか,おねがいできますか,exp hon,,2,may I ask (for) might I ask (that),2221720
お願いを聞く,おねがいをきく,exp v5k,v5,2,to grant someone's request,2016430
お願い申し上げる,おねがいもうしあげる,exp v1 hum,v1,2,please,2026970
お風呂に入る,おふろにはいる,exp v5r,v5,5,to take a bath,1002600
お高くとまる,おたかくとまる,exp v5r,v5,5,to assume an air of importance to be self-important to put on airs,1631680
おｋ,おけ,exp sl,,2,OK,2722640
かえるの目借時,かえるのめかりどき,exp,,2,springtime mating of frogs (haiku term),2627850
かかりつけの医者,かかりつけのいしゃ,exp n,,2,family physician family doctor,1864330
かくかくしかじか,,exp,,3,blah-blah yadda-yadda expression used to replace part of conversation,2064890
かくなる上は,かくなるうえは,exp,,2,now that it's come to this since it's come to this,2673120
かく言う,かくいう,exp,,1,in this way along these lines similarly,2760830
かご落ち,かごおち,exp n comp,,1,leaving an online shopping session without purchasing the goods in the cart,2828790
かすりもしない,,exp col,,1,hopelessly inaccurate not even remotely close can't hit the side of a barn,2788900
かそこら,,exp,,1,around ... or so,2537240
かたいことは言いっこなし,かたいことはいいっこなし,exp,,2,let's put formalities aside let's not speak so stiffly,2108910
かっ飛ばせ,かっとばせ,exp baseb uk,,1,sock it! wallop it!,2827417
かてて加えて,かててくわえて,exp,,3,moreover besides in addition on top of to make matters worse,2085280
かとみると,,exp adv,,1,no sooner than as soon as immediately after,2823250
かと思うと,かとおもうと,exp,,1,at the thought of when I think about,2787170
かと思えば,かとおもえば,exp,,1,at the thought of when I think about,2831508
かと言って,かといって,exp uk,,3,having said that on the other hand,2133810
かどうか,,exp,,602,"whether or not (in phrases like ""I don't know whether or not I can come"")",2087300
かなで合う,かなであう,exp v5u vi,v5,1,"to match to harmonize with (also feelings, aroma, etc.)",2826825
かなにか,,exp suf,,1,or something,2527140
かのように,,exp conj,,1,as if as though,2826769
かの如くに,かのごとくに,exp conj uk,,1,as if as though,2826768
かまちょ,,exp sl abbr,,1,please pay attention to me please entertain me,2831314
かまって君,かまってくん,exp n col,,1,attention seeker look-at-me,2826628
かもしない,,exp uk col,,1,may might perhaps may be possibly,2824350
かもしれん,,exp,,603,may might perhaps may be possibly,2100710
かもね,,exp,,1,maybe could be might,2762520
かも知れない,かもしれない,exp uk,,608,may might perhaps may be possibly,1002970
かも知れません,かもしれません,exp uk pol,,606,may might perhaps may be possibly,1002975
かゆいところに手が届く,かゆいところにてがとどく,exp v5k,v5,3,"to be extremely thorough, focusing on even the finest of details",2140180
かような次第で,かようなしだいで,exp conj,,1,thus such being the case in these circumstances,2760240
からいえば,,exp,,1,in terms of from the point of view of,2724590
からこそ,,exp,,1,precisely because,2700470
からしたら,,exp,,1,judging from on the basis of from the point of view of,2830843
からして,,exp,,10,even for starters,2201610
からすると,,exp,,2,judging from on the basis of from the point of view of,2028250
からすれば,,exp,,1,judging from on the basis of from the point of view of,2830842
からと言う物,からというもの,exp uk,,1,after since,2825832
からと言って,からといって,exp uk,,4,while it may be true that just because nevertheless not necessarily,1003030
からなる,,exp,,2,Y adding up to Z Y making up Z Y constituting Z Z consisting of Y Z composed of Y Z containing Y,2258810
からには,,exp,,5,now that since so long as because,2026610
かわいい子には旅をさせよ,かわいいこにはたびをさせよ,exp proverb,,2,"Spare the rod and spoil the child If you love your children, send them out into the world",2103020
か否か,かいなか,exp,,2,whether or not,2610940
がしかし,,exp conj,,1,however but,2657580
がたいが良い,がたいがよい,exp adj-i,adj-i,1,big and brawny well built gigantic,2822150
